Date,Month,Day_of_Year,Soil_Type,Soil_Texture,Soil_Structure,Soil_Depth_cm,Sand_%,Clay_%,Bulk_Density_g_cm3,Soil_Compaction_kPa,pH,Organic_Matter_%,Nitrogen_%,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Content_%,Irrigation_Applied_mm,precipitation_mm,avg_temp_C,solarradiation_W/m2,cloudcover%,Heat_Stress_Days (HSD),Frost_Days (FD),Temp_Shock (TS),Tuber_Yield_Potential_kg_ha,Yield (Production-Hector M. Ton)
2015-11-01,11,305,Silt Loam,Loamy,Blocky,2.621.311,5.936.631.012,2.157.220.767,1.597.909.291,264.661.355,6.053.875.969,4.103.079.007,0.118099924,4.067.118.753,1.710.294.851,2.510.755.876,1.972.602.645,3.2,25.1,151.2,62.9,0,0,0,4.466.953.314,1095760
2015-11-02,11,306,Loamy,Silty,Granular,2.621.311,5.478.340.119,2.223.161.364,1.480.101.823,2.740.349.698,562.188.075,584.655.495,0.320983434,2.125.552.389,1.629.146.966,1.866.781.632,3.610.146.567,5.6,25.9,157.9,57.3,0,0,0,4.274.419.063,1095760
2015-11-03,11,307,Loamy,Silty,Blocky,2.621.311,5.716.866.901,2.247.214.919,130.233.136,1.079.949.497,6.035.003.951,2.687.652.915,0.186281831,289.039.785,1.531.523.618,1.417.545.243,5.128.941.515,0.0,26.7,180.3,35.4,1,0,1,3.302.226.001,1095760
2015-11-04,11,308,Clay Loam,Silty,Massive,2.621.311,645.135.064,1.767.306.755,1.432.248.398,2.462.876.928,7.059.722.167,1.810.378.039,0.260112642,2.711.553.911,1.913.247.393,155.847.516,4.955.750.488,0.2,27.2,181.0,33.0,1,0,1,3.300.141.887,1095760
2015-11-05,11,309,Silt Loam,Clayey,Massive,2.621.311,6.375.453.323,1.954.943.243,136.388.014,2.915.165.574,5.112.228.558,1.566.453.223,0.248056204,2.881.982.237,1.619.873.404,2.467.247.689,9.515.258.216,0.0,26.7,182.2,43.7,1,0,1,2.447.082.428,1095760
2015-11-06,11,310,Clay Loam,Clayey,Platy,2.621.311,5.621.860.122,2.340.835.269,1.407.422.898,2.531.263.779,6.221.944.568,4.215.465.102,0.242269827,1.633.658.385,1.609.243.605,1.748.396.753,0.105973643,0.0,26.4,199.2,25.3,1,0,1,2.904.933.963,1095760
2015-11-07,11,311,Silt Loam,Silty,Platy,2.621.311,5.230.988.259,2.468.074.982,1.412.427.262,2.732.719.052,5.483.764.925,1.734.659.005,0.321703889,2.733.205.935,2.409.711.492,2.044.784.378,1.577.983.124,0.0,25.7,202.9,7.7,1,0,1,2.418.101.357,1095760
2015-11-08,11,312,Loamy,Silty,Granular,2.621.311,6.352.204.068,2.218.980.183,1.556.494.199,2.828.555.126,5.150.673.324,5.662.989.479,0.268063156,1.797.077.511,2.418.372.667,2.769.526.678,3.683.408.262,0.0,26.2,208.4,10.2,1,0,1,2.625.764.282,1095760
2015-11-09,11,313,Silt Loam,Silty,Blocky,2.621.311,663.101.506,2.319.895.786,1.480.345.882,2.217.725.297,6.963.886.194,5.478.827.881,0.25241684,3.853.389.035,1.089.122.676,1.752.481.025,4.064.247.487,0.0,25.0,205.6,40.9,1,0,1,3.949.671.672,1095760
2015-11-10,11,314,Clay Loam,Sandy,Platy,2.621.311,6.777.314.512,2.440.578.501,1.543.076.431,2.949.805.098,5.036.206.292,5.555.439.728,0.145018358,4.264.200.816,1.331.155.564,2.254.711.282,8.926.017.655,0.0,24.6,199.3,32.1,1,0,1,3.846.466.758,1095760
2015-11-11,11,315,Sandy Loam,Sandy,Massive,2.621.311,5.928.343.108,2.179.447.595,1.355.982.604,2.107.384.651,6.037.394.867,4.417.101.441,0.156064742,3.686.444.058,2.079.643.886,2.010.051.027,7.264.513.703,0.0,25.2,199.0,24.2,0,0,0,3.008.207.205,1095760
2015-11-12,11,316,Clay Loam,Sandy,Blocky,2.621.311,6.706.152.768,2.341.316.871,1.290.256.915,1.248.009.435,6.363.756.944,1.639.617.206,0.375843117,345.768.139,1.389.152.611,1.220.778.959,1.960.647.868,0.0,24.8,198.8,27.9,0,0,0,4.750.468.705,1095760
2015-11-13,11,317,Clay Loam,Sandy,Granular,2.621.311,6.033.912.284,1.822.167.054,1.406.746.264,2.228.593.975,5.432.209.332,4.028.296.112,0.171543001,3.914.364.583,179.325.822,1.167.987.662,1.740.135.993,0.0,25.2,196.8,13.4,0,0,0,3.878.848.138,1095760
2015-11-14,11,318,Clay Loam,Silty,Granular,2.621.311,554.443.466,1.628.515.025,147.123.744,1.054.154.999,7.248.641.636,1.848.844.264,0.162601863,2.981.277.434,1.410.249.803,1.402.943.361,1.757.510.463,0.0,25.0,176.0,19.5,1,0,1,255.110.607,1095760
2015-11-15,11,319,Clay Loam,Loamy,Platy,2.621.311,6.115.413.833,2.257.088.712,1.581.199.744,1.263.782.076,6.021.701.444,1.869.634.315,0.155730748,2.573.172.755,1.575.146.768,126.333.552,1.462.454.759,0.0,25.2,167.8,38.9,1,0,1,2.340.101.424,1095760
2015-11-16,11,320,Sandy Loam,Silty,Platy,2.621.311,5.291.563.121,1.765.207.618,1.463.902.281,147.573.383,5.455.259.494,1.750.595.196,0.252519305,1.811.036.939,1.560.041.122,1.738.379.386,442.054.336,0.0,24.7,145.7,45.2,1,0,1,326.513.937,1095760
2015-11-17,11,321,Loamy,Sandy,Granular,2.621.311,6.369.340.968,2.078.138.469,1.337.944.201,1.502.201.095,6.527.948.936,2.046.498.569,0.339378757,3.874.902.252,1.761.690.684,141.468.033,7.461.186.054,0.3,24.4,99.9,82.0,0,0,0,4.995.565.849,1095760
2015-11-18,11,322,Sandy Loam,Silty,Granular,2.621.311,6.682.822.391,2.249.054.157,130.254.522,2.253.207.177,6.598.621.729,387.976.065,0.321345159,3.951.765.341,1.470.561.278,2.459.879.467,1.759.515.807,1.1,24.3,82.0,74.8,0,0,0,3.138.109.547,1095760
2015-11-19,11,323,Sandy Loam,Silty,Massive,2.621.311,5.206.845.885,2.163.214.679,1.398.611.988,2.440.692.372,5.971.678.566,4.050.934.767,0.140212778,2.718.876.157,1.881.657.829,141.811.146,1.135.742.563,0.0,24.1,179.7,53.2,0,0,0,2.624.085.781,1095760
2015-11-20,11,324,Clay Loam,Clayey,Massive,2.621.311,5.968.439.978,1.981.294.351,1.510.485.062,1.546.720.067,5.078.670.908,499.594.001,0.135338922,2.396.133.337,2.010.455.563,279.177.984,1.312.473.394,0.0,25.2,194.8,7.3,1,0,1,2.589.654.271,1095760
2015-11-21,11,325,Clay Loam,Clayey,Blocky,2.621.311,684.203.375,1.655.348.192,123.109.352,1.063.550.978,6.654.114.924,5.024.585.573,0.316724488,2.468.915.211,1.878.286.905,2.018.642.722,1.565.502.409,0.0,25.4,195.0,4.0,1,0,1,3.046.121.051,1095760
